pH,EC (us/cm),CEC (cmol/kg),OM (g/kg),TC (mg/g),MBC mg/g,TN (mg/g),TP (mg/g),TK (mg/g),NH4+-N (mg/g),NO3--N (mg/g),AN (mg/g),AP (mg/g),AK (mg/g),Reference
9.7,604.0,,,,,,,,,,42.0,37.2,,Chen et al. (2022)
9.6,581.0,,,,,,,,,,46.8,55.5,,Chen et al. (2022)
9.5,568.0,,,,,,,,,,53.3,85.6,,Chen et al. (2022)
8.9,370.0,,,,,,,,,,76.5,57.2,,Chen et al. (2022)
8.6,372.0,,,,,,,,,,88.6,75.1,,Chen et al. (2022)
8.4,365.0,,,,,,,,,,100.4,103.4,,Chen et al. (2022)
8.0,278.0,,,,,,,,,,96.5,115.2,,Chen et al. (2022)
7.8,294.0,,,,,,,,,,106.9,121.3,,Chen et al. (2022)
7.5,329.0,,,,,,,,,,118.7,127.0,,Chen et al. (2022)
7.8,317.0,,,,,,,,,,,,,Suarez et al. (2025)
7.6,337.0,,,,,,,,,,,,,Suarez et al. (2025)
7.2,432.0,,,,,,,,,,,,,Suarez et al. (2025)
8.0,274.0,,,,,,,,,,,,,Suarez et al. (2025)
7.8,220.0,,,,,,,,,,,,,Suarez et al. (2025)
7.7,180.0,,,,,,,,,,,,,Suarez et al. (2025)
