pH,EC (us/cm),CEC (cmol/kg),C (%),H (%),N (%),O (%),S (%),O/C,C/N,H/C,P (g/kg),K (g/kg),AR (%),Reference
4.1,980.0,,,,,,,,,,,,6.0,Chen et al. (2022)
4.1,980.0,,,,,,,,,,,,2.0,Chen et al. (2022)
4.1,980.0,,,,,,,,,,,,4.0,Chen et al. (2022)
4.1,980.0,,,,,,,,,,,,6.0,Chen et al. (2022)
4.1,980.0,,,,,,,,,,,,2.0,Chen et al. (2022)
4.1,980.0,,,,,,,,,,,,4.0,Chen et al. (2022)
4.1,980.0,,,,,,,,,,,,6.0,Chen et al. (2022)
4.6,"4,900.0",,57.0,5.5,2.5,32.1,0.2,0.42,26.59,1.15,8.5,57.2,1.0,Suarez et al. (2025)
4.6,"4,900.0",,57.0,5.5,2.5,32.1,0.2,0.42,26.59,1.15,8.5,57.2,5.0,Suarez et al. (2025)
4.6,"4,900.0",,57.0,5.5,2.5,32.1,0.2,0.42,26.59,1.15,8.5,57.2,10.0,Suarez et al. (2025)
4.8,100.0,,56.9,6.2,2.0,31.5,0.1,0.42,33.18,1.30,2.6,8.7,1.0,Suarez et al. (2025)
4.8,100.0,,56.9,6.2,2.0,31.5,0.1,0.42,33.18,1.30,2.6,8.7,5.0,Suarez et al. (2025)
4.8,100.0,,56.9,6.2,2.0,31.5,0.1,0.42,33.18,1.30,2.6,8.7,10.0,Suarez et al. (2025)
